url,price_pcm,bedrooms,bathrooms,address,area,within_travel_time
https://www.rightmove.co.uk/properties/143123690#/?channel=RES_LET,"£2,500 pcm",2,2,"Zachary House, 6 Lett Road, London, SW9",952.0,True
https://www.rightmove.co.uk/properties/89757359#/?channel=RES_LET,"£2,500 pcm",2,2,"Crabtree Lane, London, SW6",950.0,True
https://www.rightmove.co.uk/properties/143403032#/?channel=RES_LET,"£2,500 pcm",2,2,"Hartfield Crescent, Wimbledon",921.3,True
https://www.rightmove.co.uk/properties/143219969#/?channel=RES_LET,"£2,500 pcm",2,2,"Finland Street, London, SE16",912.0,True
https://www.rightmove.co.uk/properties/143407247#/?channel=RES_LET,"£2,500 pcm",2,2,"Kings Avenue, LONDON",912.0,True
https://www.rightmove.co.uk/properties/142376234#/?channel=RES_LET,"£2,500 pcm",2,2,"Three Colt Street, London, E14",898.0,True
https://www.rightmove.co.uk/properties/143323676#/?channel=RES_LET,"£2,500 pcm",2,2,"Finland Street, Rotherhithe, SE16",893.0,True
https://www.rightmove.co.uk/properties/143101652#/?channel=RES_LET,"£2,500 pcm",2,2,"Melliss Avenue, Richmond, Surrey, TW9",886.0,unknown
https://www.rightmove.co.uk/properties/143161043#/?channel=RES_LET,"£2,500 pcm",2,2,"Silvester Road, East Dulwich, London, SE22",884.0,True
https://www.rightmove.co.uk/properties/143029787#/?channel=RES_LET,"£2,500 pcm",2,2,"Meadowlark House, Hendon, London, NW9",880.0,unknown
https://www.rightmove.co.uk/properties/143028491#/?channel=RES_LET,"£2,500 pcm",2,2,"Lakeside Drive, London",875.0,True
https://www.rightmove.co.uk/properties/133053551#/?channel=RES_LET,"£2,500 pcm",2,2,"Melliss Avenue, Kew, Richmond, Surrey, TW9",873.0,unknown
https://www.rightmove.co.uk/properties/141383558#/?channel=RES_LET,"£2,500 pcm",2,2,Dee Road Richmond TW9,864.0,True
https://www.rightmove.co.uk/properties/142292102#/?channel=RES_LET,"£2,500 pcm",2,2,Ladbroke Grove London W10,858.0,True
https://www.rightmove.co.uk/properties/142289246#/?channel=RES_LET,"£2,500 pcm",2,2,"Perspective Building, Westminster Bridge Road, Lambeth, SE1",851.0,True
https://www.rightmove.co.uk/properties/141818756#/?channel=RES_LET,"£2,500 pcm",3,2,Upland Road London SE22,849.0,True
https://www.rightmove.co.uk/properties/136745525#/?channel=RES_LET,"£2,500 pcm",2,2,"Dartmouth Road, Mapesbury Estate, London",848.0,unknown
https://www.rightmove.co.uk/properties/143062514#/?channel=RES_LET,"£2,500 pcm",2,2,"Plough Lane, Earlsfield",829.0,unknown
https://www.rightmove.co.uk/properties/143103365#/?channel=RES_LET,"£2,500 pcm",2,2,Primezone Mews London N8,827.0,True
https://www.rightmove.co.uk/properties/143280329#/?channel=RES_LET,"£2,500 pcm",2,2,"Church Road, Wimbledon, SW19",822.0,True
https://www.rightmove.co.uk/properties/143300315#/?channel=RES_LET,"£2,500 pcm",2,2,"Stafford Mansions, Ferndale Road, Brixton/Clapham",804.0,True
https://www.rightmove.co.uk/properties/143290610#/?channel=RES_LET,"£2,513 pcm",2,2,"Canterbury Lofts, Canterbury Road, NW6",990.0,unknown
https://www.rightmove.co.uk/properties/86360163#/?channel=RES_LET,"£2,513 pcm",2,2,"Boardwalk Place, Canary Wharf E14",813.0,unknown
https://www.rightmove.co.uk/properties/142573670#/?channel=RES_LET,"£2,535 pcm",2,2,"Coleherne Road, London",886.5,True
https://www.rightmove.co.uk/properties/143335580#/?channel=RES_LET,"£2,550 pcm",2,2,"Queens Road, Peckham, SE15",988.2,True
https://www.rightmove.co.uk/properties/141629561#/?channel=RES_LET,"£2,550 pcm",2,2,"Lower Richmond Road, Richmond",864.0,True
https://www.rightmove.co.uk/properties/142601603#/?channel=RES_LET,"£2,552 pcm",2,2,"Southwood Lawn Road, London, N6",850.0,True
https://www.rightmove.co.uk/properties/143354231#/?channel=RES_LET,"£2,571 pcm",2,2,"Ferrum, Wembley Park, HA9",3400.0,unknown
https://www.rightmove.co.uk/properties/142730432#/?channel=RES_LET,"£2,575 pcm",2,2,Kilburn Lane London W9,858.0,True
https://www.rightmove.co.uk/properties/143365691#/?channel=RES_LET,"£2,575 pcm",2,2,"Kilburn Lane, London, W9",818.0,True
https://www.rightmove.co.uk/properties/143371349#/?channel=RES_LET,"£2,590 pcm",2,2,"The Sessile, 18 Ashley Road, Tottenham Hale N17",816.0,unknown
https://www.rightmove.co.uk/properties/143083307#/?channel=RES_LET,"£2,600 pcm",2,2,"Perseus Court, 26 Arniston Way, Blackwall, E14",5950.0,unknown
https://www.rightmove.co.uk/properties/143091662#/?channel=RES_LET,"£2,600 pcm",3,2,"Mapesbury Road, Kilburn, NW2",1261.0,True
https://www.rightmove.co.uk/properties/143079860#/?channel=RES_LET,"£2,600 pcm",3,2,"Mapesbury Road, Willesden",1261.0,True
https://www.rightmove.co.uk/properties/142116935#/?channel=RES_LET,"£2,600 pcm",2,2,"Melliss Avenue, Kew, Richmond, TW9",1131.0,True
https://www.rightmove.co.uk/properties/143355581#/?channel=RES_LET,"£2,600 pcm",2,2,"Abbeville Road, Clapham",1092.0,True
https://www.rightmove.co.uk/properties/141479477#/?channel=RES_LET,"£2,600 pcm",2,2,"St Davids Square, Isle of Dogs, E14",1012.0,True
https://www.rightmove.co.uk/properties/142748480#/?channel=RES_LET,"£2,600 pcm",2,2,"Lakeside Drive, Lakeside Drive",959.1,True
https://www.rightmove.co.uk/properties/141188894#/?channel=RES_LET,"£2,600 pcm",2,2,"Devonshire Road, Colliers Wood, London, SW19",928.0,unknown
https://www.rightmove.co.uk/properties/142657322#/?channel=RES_LET,"£2,600 pcm",2,2,"2-6 Rothsay Street, Bermondsey, London",918.0,True
https://www.rightmove.co.uk/properties/142913078#/?channel=RES_LET,"£2,600 pcm",2,2,100 Three Colt Street Canary Wharf E14,899.0,unknown
https://www.rightmove.co.uk/properties/143199782#/?channel=RES_LET,"£2,600 pcm",2,2,"Blair Street, London, E14",882.0,True
https://www.rightmove.co.uk/properties/142861598#/?channel=RES_LET,"£2,600 pcm",2,2,"Warwick Gardens, Kensington, London, W14",880.0,True
https://www.rightmove.co.uk/properties/142020626#/?channel=RES_LET,"£2,600 pcm",2,2,"New Atlas Wharf, 3 Arnhem Place, London, E14",864.0,unknown
https://www.rightmove.co.uk/properties/142681847#/?channel=RES_LET,"£2,600 pcm",2,2,"Hogarth Road, Earls Court, London, SW5",850.0,unknown
https://www.rightmove.co.uk/properties/143331335#/?channel=RES_LET,"£2,600 pcm",2,2,"Station Road, Tottenham Hale, N17",846.0,True
https://www.rightmove.co.uk/properties/142793135#/?channel=RES_LET,"£2,600 pcm",2,2,Frobisher Place London SE15,828.0,True
https://www.rightmove.co.uk/properties/142919381#/?channel=RES_LET,"£2,600 pcm",2,2,"Meath Crescent, Bethnal Green, London, E2",817.0,True
https://www.rightmove.co.uk/properties/102451670#/?channel=RES_LET,"£2,600 pcm",2,2,"Boardwalk Place, London, E14",813.0,True
https://www.rightmove.co.uk/properties/143246819#/?channel=RES_LET,"£2,600 pcm",2,2,"Orchard Place, London",812.99,True
https://www.rightmove.co.uk/properties/143325680#/?channel=RES_LET,"£2,600 pcm",2,2,"Greyhound Parade, Wimbledon Grounds, London, SW17",811.0,True
https://www.rightmove.co.uk/properties/141053108#/?channel=RES_LET,"£2,600 pcm",2,2,Manor Gardens London N7,809.0,True
https://www.rightmove.co.uk/properties/143226455#/?channel=RES_LET,"£2,625 pcm",3,2,"Canada Gardens, Wembley Park",932.1,unknown
https://www.rightmove.co.uk/properties/138850076#/?channel=RES_LET,"£2,650 pcm",2,2,"St Andrews Wharf, 12 Shad Thames, London, SE1",1111.0,unknown
https://www.rightmove.co.uk/properties/143112356#/?channel=RES_LET,"£2,650 pcm",2,2,"Wimbledon Hill Road, Wimbledon",1026.5,True
https://www.rightmove.co.uk/properties/86665143#/?channel=RES_LET,"£2,650 pcm",2,2,"Limeharbour, London, E14 9LU",1000.72,True
https://www.rightmove.co.uk/properties/143202968#/?channel=RES_LET,"£2,650 pcm",2,2,"Hare Marsh, London, E2",840.0,True
https://www.rightmove.co.uk/properties/142748855#/?channel=RES_LET,"£2,650 pcm",2,2,"Uncle Wembley, Wembley, HA9",818.0,unknown
https://www.rightmove.co.uk/properties/143280800#/?channel=RES_LET,"£2,650 pcm",2,2,"City North Place, Finsbury Park, N4 3FQ",797.18,True
https://www.rightmove.co.uk/properties/143330570#/?channel=RES_LET,"£2,665 pcm",2,2,"Station Road, Tottenham Hale, N17",873.0,True
https://www.rightmove.co.uk/properties/143330444#/?channel=RES_LET,"£2,665 pcm",2,2,"Station Road, Tottenham Hale, N17",830.0,True
https://www.rightmove.co.uk/properties/143361185#/?channel=RES_LET,"£2,687 pcm",2,2,"Campion House, Redwood Park, Surrey Quays SE16",869.0,unknown
https://www.rightmove.co.uk/properties/86681739#/?channel=RES_LET,"£2,695 pcm",2,2,"Royal Captain Court, 26 Arniston Way, Blackwall Reach, Greater London, E14",5950.0,unknown
https://www.rightmove.co.uk/properties/143083190#/?channel=RES_LET,"£2,695 pcm",2,2,"Royal Captain Court, 26 Arniston Way, Greater London, E14",5950.0,unknown
https://www.rightmove.co.uk/properties/141550130#/?channel=RES_LET,"£2,695 pcm",3,2,"Durham Road, West Wimbledon, SW20",1156.0,True
https://www.rightmove.co.uk/properties/140787746#/?channel=RES_LET,"£2,700 pcm",3,2,"Wilkinson Close, London, NW2",1237.0,True
https://www.rightmove.co.uk/properties/142530740#/?channel=RES_LET,"£2,700 pcm",2,2,"Boyd Street, London, E1",1217.0,True
https://www.rightmove.co.uk/properties/129175853#/?channel=RES_LET,"£2,700 pcm",3,2,"Strand Drive, KEW, RICHMOND, SURREY, UK, TW9",1026.0,unknown
https://www.rightmove.co.uk/properties/142663337#/?channel=RES_LET,"£2,700 pcm",3,2,"Park Avenue North, Willesden",1006.4,True
https://www.rightmove.co.uk/properties/80122683#/?channel=RES_LET,"£2,700 pcm",2,2,"Waterman, Greenwich Peninsula, SE10",967.0,True
https://www.rightmove.co.uk/properties/143291771#/?channel=RES_LET,"£2,700 pcm",3,2,"Shepherd Court,Annabel Close, London, E14",947.0,True
https://www.rightmove.co.uk/properties/74239361#/?channel=RES_LET,"£2,700 pcm",3,2,"Babington Road, London, SW16",907.0,True
https://www.rightmove.co.uk/properties/143257370#/?channel=RES_LET,"£2,700 pcm",2,2,"Lanhill Road, London, W9",883.7,True
https://www.rightmove.co.uk/properties/142987769#/?channel=RES_LET,"£2,700 pcm",2,2,"Lime Tree Apartments, Willesden Lane, London, NW6",875.0,unknown
https://www.rightmove.co.uk/properties/143076119#/?channel=RES_LET,"£2,700 pcm",2,2,"Archway Road, Highgate",871.6,True
https://www.rightmove.co.uk/properties/143074352#/?channel=RES_LET,"£2,700 pcm",2,2,"Dundee Court, 217 Long Lane, London, SE1",871.0,unknown
https://www.rightmove.co.uk/properties/142438670#/?channel=RES_LET,"£2,700 pcm",2,2,"Red Post Hill, London, SE24",862.0,True
https://www.rightmove.co.uk/properties/141498971#/?channel=RES_LET,"£2,700 pcm",2,2,Red Post Hill London SE24,860.0,True
https://www.rightmove.co.uk/properties/142988225#/?channel=RES_LET,"£2,700 pcm",2,2,"Lansdowne Road, Wimbledon, London, SW20",850.0,True
https://www.rightmove.co.uk/properties/142468409#/?channel=RES_LET,"£2,700 pcm",2,2,"Nelson Street, Shadwell, London, E1",840.0,True
